largo,ancho,precio
24,45,4443
21,5,445.5
37,9,1380.3
16,6,408.6
10,7,302
19,22,1728.8
50,39,8010
15,50,3090
24,12,1195.8
41,25,4217.5
22,40,3623
7,35,1019.5
44,18,3262.2
29,37,4414.3
31,47,5988.7
15,37,2290.5
45,41,7579.5
47,17,3290.9
32,8,1064.6
31,34,4336.4
17,16,1130.2
36,49,7247.4
12,45,2229
20,6,507
17,36,2524.2
26,28,2999.8
7,27,789.9
19,20,1573
24,16,1589.4
23,12,1146.6
35,26,3746
28,25,2885
46,23,4352.8
39,7,1134.3
20,7,589
11,18,826.8
28,46,5295.8
10,12,507
13,29,1560.7
38,7,1105.6
37,37,5627.9
5,37,773.5
42,23,3975.6
10,9,384
26,35,3746
18,10,753
18,9,679.2
32,20,2639
32,8,1064.6
22,40,3623
41,8,1359.8
35,20,2885
15,16,999
7,49,1421.3
14,23,1335.2
41,18,3040.8
18,40,2967
50,36,7395
48,13,2573.4
8,41,1359.8
44,13,2360.2
33,26,3532.8
36,15,2229
10,41,1696
30,23,2844
17,36,2524.2
36,46,6804.6
17,19,1339.3
25,22,2270
39,36,5771.4
11,12,556.2
41,36,6066.6
28,8,933.4
23,27,2561.1
13,42,2253.6
20,6,507
24,47,4639.8
48,8,1589.4
24,36,3557.4
29,27,3225.3
11,46,2089.6
31,38,4844.8
24,29,2868.6
22,45,4074
46,40,7559
26,30,3213
28,44,5066.2
22,36,3262.2
30,34,4197
44,25,4525
12,24,1195.8
6,12,310.2
46,34,6427.4
29,35,4176.5
9,9,347.1
18,24,1786.2
27,29,3225.3
9,32,1195.8
30,47,5796
6,46,1146.6
