Dia,Casos
0,1
1,5
2,19
3,129
4,251
5,428
6,575
7,1152
8,2081
9,3086
10,3802
11,4776
12,5856
13,6175
14,5953
15,5925
16,5552
17,5506
18,5236
19,5456
20,5349
21,6630
22,6511
23,5901
24,5597
25,5857
26,6328
27,7228
28,7536
29,7182
30,5457
31,7081
32,6572
33,7012
34,8381
35,10520
36,8814
37,11517
38,10373
39,13436
40,17773
41,26535
42,29723
43,30911
44,24954
45,27260
46,39454
47,38095
48,33282
49,24157
50,22089
51,16946
52,15091
53,15262
54,13945
55,9743
56,11113
57,9203
58,6279
59,7859
60,6700
61,5678
62,4607
63,3345
64,3447
65,3335
66,3553
67,3864
68,4927
69,6268
70,9494
71,13396
72,21104
73,26646
74,30793
75,31112
76,29633
77,26809
78,20524
79,17413
80,13711
81,10929
82,8631
83,8669
84,5316
85,4248
