x,y,z
0,0,a
0.023,0.022997972,a
0.046,0.045983779,a
0.069,0.068945262,a
0.092,0.091870274,a
0.115,0.114746688,a
0.138,0.137562405,a
0.161,0.160305354,a
0.184,0.182963505,a
0.207,0.205524873,a
0.23,0.227977524,a
0.253,0.250309579,a
0.276,0.272509226,a
0.299,0.294564723,a
0.322,0.316464401,a
0.345,0.338196677,a
0.368,0.359750055,a
0.391,0.381113134,a
0.414,0.402274613,a
0.437,0.423223297,a
0.46,0.443948107,a
0.483,0.464438078,a
0.506,0.484682373,a
0.529,0.504670282,a
0.552,0.524391231,a
0.575,0.543834791,a
0.598,0.562990674,a
0.621,0.581848748,a
0.644,0.600399038,a
0.667,0.618631731,a
0.69,0.636537182,a
0.713,0.65410592,a
0.736,0.671328651,a
0.759,0.688196265,a
0.782,0.704699839,a
0.805,0.720830643,a
0.828,0.736580145,a
0.851,0.751940013,a
0.874,0.766902122,a
0.897,0.781458558,a
0.92,0.79560162,a
0.943,0.809323828,a
0.966,0.822617922,a
0.989,0.835476871,a
1.012,0.847893872,a
1.035,0.859862356,a
1.058,0.871375994,a
1.081,0.882428694,a
1.104,0.89301461,a
1.127,0.903128142,a
1.15,0.91276394,a
1.173,0.921916908,a
1.196,0.930582203,a
1.219,0.938755241,a
1.242,0.9464317,a
1.265,0.953607519,a
1.288,0.960278901,a
1.311,0.966442319,a
1.334,0.97209451,a
1.357,0.977232487,a
1.38,0.98185353,a
1.403,0.985955196,a
1.426,0.989535315,a
1.449,0.992591992,a
1.472,0.995123611,a
1.495,0.997128833,a
1.518,0.998606598,a
1.541,0.999556122,a
1.564,0.999976905,a
1.587,0.999868723,a
1.61,0.999231634,a
1.633,0.998065975,a
1.656,0.996372362,a
1.679,0.994151692,a
1.702,0.991405138,a
1.725,0.988134155,a
1.748,0.984340471,a
1.771,0.980026094,a
1.794,0.975193306,a
1.817,0.969844664,a
1.84,0.963982996,a
1.863,0.957611404,a
1.886,0.950733258,a
1.909,0.943352196,a
1.932,0.935472123,a
1.955,0.927097207,a
1.978,0.918231878,a
2.001,0.908880825,a
2.024,0.899048996,a
2.047,0.888741592,a
2.07,0.877964063,a
2.093,0.866722112,a
2.116,0.855021685,a
2.139,0.842868972,a
2.162,0.8302704,a
2.185,0.817232635,a
2.208,0.803762573,a
2.231,0.78986734,a
2.254,0.775554285,a
2.277,0.760830979,a
2.3,0.745705212,a
2.323,0.730184984,a
2.346,0.714278506,a
2.369,0.697994191,a
2.392,0.681340653,a
2.415,0.664326701,a
2.438,0.646961337,a
2.461,0.629253745,a
2.484,0.611213292,a
2.507,0.592849522,a
2.53,0.574172148,a
2.553,0.555191051,a
2.576,0.53591627,a
2.599,0.516358003,a
2.622,0.496526594,a
2.645,0.476432534,a
2.668,0.456086452,a
2.691,0.435499111,a
2.714,0.414681401,a
2.737,0.393644335,a
2.76,0.372399039,a
2.783,0.350956754,a
2.806,0.32932882,a
2.829,0.307526679,a
2.852,0.285561864,a
2.875,0.263445993,a
2.898,0.241190766,a
2.921,0.218807954,a
